47	801	470	837	709	268
931	478	459	423	122	12
38	58	157	544	707	422
91	957	474	301	709	973
861	519	428	276	488	150
800	639	376	215	785	559
395	47	357	346	652	681
471	76	163	530	179	564
120	79	965	970	110	201
401	983	97	27	563	169
624	801	699	697	547	275
625	558	418	375	988	943
503	400	296	626	312	589
92	534	424	892	651	729
78	246	886	487	398	11
96	526	133	99	135	55
913	453	727	498	438	318
287	323	679	935	704	111
796	742	342	705	877	55
669	644	289	791	663	122
693	500	93	481	443	80
225	119	337	551	820	192
472	544	578	844	906	859
21	23	809	526	862	315
152	308	929	26	872	797
3	451	311	592	52	367
202	212	858	718	132	479
285	653	409	380	114	240
584	799	431	70	782	215
518	292	817	438	487	449
189	662	888	738	370	402
738	197	36	93	840	693
941	206	556	593	504	245
535	203	668	398	833	932
810	772	59	681	528	423
410	60	756	476	42	410
549	89	265	825	329	521
295	103	829	226	956	200
90	992	963	861	60	518
251	589	735	695	751	486
289	377	35	74	386	486
206	740	1000	83	636	677
525	643	352	773	151	650
38	609	489	856	720	500
955	561	184	323	862	261
193	226	686	972	783	936
460	876	633	593	495	68
854	666	821	551	497	453
241	502	683	987	286	210
999	568	546	374	983	876
21	422	257	690	450	848
247	330	155	950	663	983
644	349	663	43	290	900
164	394	421	490	307	838
420	597	378	97	210	532
429	512	991	669	192	101
837	741	96	812	900	183
39	716	959	575	474	305
51	702	699	191	156	292
120	320	138	905	262	620
520	608	382	167	679	500
135	571	434	422	935	700
384	741	819	986	164	510
258	15	647	666	566	27
554	881	484	608	559	246
855	422	486	280	369	566
813	574	742	864	540	117
506	704	809	173	372	342
747	50	498	720	716	658
156	836	819	779	694	28
631	278	360	637	18	873
675	861	630	931	695	336
497	287	79	247	516	441
250	66	281	410	479	87
947	221	641	555	924	796
961	926	646	87	826	712
44	276	74	769	835	181
813	568	810	802	602	912
896	672	214	497	856	397
969	910	834	398	622	511
493	481	61	98	357	527
313	683	914	882	836	148
225	35	899	622	692	825
15	407	500	248	306	794
949	952	140	733	267	53
189	692	618	225	233	8
616	939	91	73	887	377
653	425	983	409	387	997
602	122	685	852	311	502
587	212	898	358	586	104
985	528	132	623	978	892
191	205	566	894	40	873
800	735	878	746	662	286
