467	949	933	303	552	765	500
766	239	51	121	296	940	591
191	852	405	554	883	563	473
995	364	680	66	439	42	128
519	339	422	245	764	251	639
309	346	286	723	762	490	739
911	591	775	740	49	127	914
112	523	580	131	552	337	915
872	826	646	565	598	498	689
488	911	504	195	82	932	981
901	247	616	149	647	936	70
179	915	987	596	568	55	858
629	164	531	948	896	643	853
600	838	299	132	986	815	215
868	877	838	710	741	362	473
120	336	726	825	543	121	988
139	541	840	906	981	406	808
500	723	452	65	685	510	952
119	471	11	95	230	465	95
123	123	222	222	13	56	333
641	921	186	286	259	341	283
843	940	339	247	395	904	19
699	925	792	884	420	53	282
689	988	621	435	705	901	286
920	192	816	485	803	488	339
921	998	745	776	482	718	67
571	714	90	89	867	744	278
116	990	325	474	302	687	122
88	637	512	450	536	33	931
630	439	801	710	788	65	378
188	53	570	856	948	971	816
815	663	325	265	394	640	120
822	170	631	247	758	836	470
765	201	240	538	80	106	275
595	43	294	727	998	896	944
27	109	799	876	114	948	558
778	635	779	218	170	62	406
196	898	367	108	345	215	180
4	945	414	125	451	468	119
257	312	388	802	798	252	157
301	611	606	802	813	898	36
81	567	37	266	525	820	94
678	523	595	200	194	608	95
839	909	903	49	795	701	770
119	808	499	372	428	527	301
301	200	865	949	431	370	768
338	214	717	904	239	368	251
252	870	242	669	897	760	583
657	288	609	450	155	156	512
650	788	677	29	914	23	283
180	216	726	628	68	867	799
981	135	53	873	60	102	473
578	875	452	928	519	817	527
655	925	883	544	716	413	310
620	457	812	31	5	940	102
651	652	52	679	230	257	708
300	151	653	317	329	970	481
561	8	514	983	589	201	344
41	477	334	194	176	775	136
965	486	316	958	127	357	759
851	124	718	620	670	108	820
240	210	819	250	803	56	645
116	897	966	425	39	352	335
366	674	240	263	236	783	174
97	280	828	449	777	656	877
76	242	780	815	356	931	308
615	962	722	122	857	540	636
812	354	763	901	642	241	70
406	353	361	877	976	534	14
512	54	650	90	956	191	734
777	439	233	683	329	278	656
86	574	241	735	83	997	832
963	768	28	662	685	120	999
754	218	887	786	660	154	534
715	248	629	657	47	208	266
803	39	924	37	7	819	352
183	898	335	284	263	885	589
14	996	525	602	821	46	837
527	809	740	780	671	212	631
397	913	360	946	219	47	968
394	319	589	910	763	580	381
406	80	667	811	652	245	859
108	731	520	768	727	373	808
706	675	559	63	312	834	990
146	926	673	12	250	197	543
944	889	133	784	522	848	800
856	600	200	487	765	462	405
15	793	253	14	437	260	504
30	862	52	7	845	495	66
460	180	82	159	828	788	840
843	761	562	65	665	677	775
188	937	38	716	421	200	629
509	639	773	864	110	608	227
236	434	184	816	104	20	186
701	779	31	244	519	741	723
243	783	810	286	833	100	928
711	503	61	707	735	810	316
396	954	430	859	986	568	607
502	318	889	980	398	227	528
432	831	733	142	649	76	715
847	339	94	737	840	524	132
735	240	443	453	589	332	832
802	554	935	153	345	1000	124
814	86	668	379	283	992	776
79	250	25	129	899	180	244
437	971	509	373	266	493	210
780	164	772	580	522	63	564
842	333	165	287	238	458	271
647	114	542	604	980	285	980
210	856	502	83	215	554	621
302	345	630	817	458	988	826
531	108	919	124	530	885	936
546	19	488	313	143	764	558
564	136	760	676	328	5	438
203	485	241	740	579	716	442
803	219	5	111	76	62	53
989	258	514	377	172	777	532
167	202	796	978	301	147	969
331	656	78	636	129	81	535
736	823	213	308	291	243	827
108	495	190	756	678	869	151
671	883	1	530	554	757	58
790	346	704	494	784	972	38
61	663	521	749	998	685	571
694	833	638	911	586	500	950
836	390	623	177	120	282	521
296	888	396	795	129	451	970
356	980	997	273	883	139	956
575	801	820	392	30	492	605
408	155	30	210	340	267	170
610	462	886	842	75	846	489
388	50	947	120	224	132	421
332	923	234	182	563	954	160
948	137	302	982	586	284	919
827	203	362	969	470	934	856
574	505	382	809	917	608	643
757	568	835	725	597	812	621
664	52	876	365	259	671	992
227	26	552	289	343	187	754
502	966	379	136	80	25	332
8	605	523	740	376	550	927
772	239	970	70	980	393	332
152	331	391	800	937	178	89
26	285	873	145	799	109	510
793	148	83	696	199	55	130
433	325	605	594	510	495	909
213	77	821	84	331	177	24
786	400	647	485	117	762	577
