808	465	837	210	269	829
951	424	925	167	542	917
796	984	287	957	926	388
989	328	681	684	900	660
27	918	281	473	30	374
26	19	225	802	551	439
680	302	33	663	621	672
541	29	736	121	649	259
144	962	308	581	166	154
347	791	777	16	664	781
301	858	598	128	539	227
937	151	673	513	739	390
601	268	57	165	616	295
323	935	232	307	758	943
847	404	718	30	605	138
177	401	295	43	776	872
282	345	599	301	615	982
254	901	706	936	639	200
354	364	747	862	201	998
769	724	705	680	832	526
169	232	566	179	838	824
652	687	320	307	750	893
802	177	71	443	11	595
195	788	572	826	979	629
418	487	171	307	653	345
115	681	920	686	534	6
94	367	991	896	179	740
932	221	109	275	350	381
385	126	762	811	290	725
839	880	676	42	732	726
913	812	601	344	379	823
349	234	555	428	756	91
332	402	216	631	753	633
724	194	589	778	369	864
631	116	370	44	718	137
66	487	945	158	882	213
566	480	287	785	511	938
895	950	140	796	467	410
510	781	355	540	871	23
386	709	668	638	485	555
989	957	346	138	363	767
128	190	925	711	814	404
554	127	823	527	602	547
672	99	456	884	920	282
209	896	532	540	684	133
300	356	736	271	854	957
931	832	599	962	879	642
552	481	292	64	832	258
922	178	137	178	354	520
314	178	869	194	560	204
930	539	219	639	891	724
673	51	663	610	901	287
353	295	660	748	466	819
122	685	799	136	561	673
368	540	265	551	190	689
78	905	176	839	213	935
414	77	138	425	958	753
966	361	414	328	205	421
346	646	926	165	358	558
742	711	460	678	279	443
784	746	163	465	970	277
329	971	459	501	765	3
706	323	497	969	559	786
685	111	891	21	60	915
251	33	389	722	892	455
605	228	805	450	742	903
432	416	534	793	297	48
959	312	439	285	779	27
808	285	635	547	617	476
58	211	372	798	483	437
396	327	62	938	429	1
157	127	773	702	690	693
127	329	416	320	179	867
541	884	694	848	729	153
524	981	97	52	846	868
18	281	220	225	593	90
654	21	213	455	753	478
259	496	951	366	544	556
639	769	47	81	155	360
21	442	441	721	739	639
584	410	670	956	852	955
28	2	26	115	157	385
249	9	228	468	916	503
536	507	630	650	284	498
769	989	953	56	243	517
190	618	365	27	757	826
418	23	495	486	722	175
748	258	458	189	829	830
801	229	676	774	454	901
524	837	936	687	354	914
534	238	989	61	890	354
15	167	92	834	506	543
34	617	542	467	829	34
187	995	584	629	470	797
324	220	574	984	345	65
554	550	779	437	861	556
693	543	232	384	125	954
316	251	334	469	539	337
308	977	383	402	556	505
86	429	46	9	950	287
959	490	706	950	59	847
449	852	941	992	536	993
432	535	872	655	502	43
956	910	924	334	674	978
960	892	291	881	674	693
663	330	362	77	521	380
943	476	372	187	630	457
309	834	194	51	795	996
156	350	429	538	507	231
18	381	577	952	62	143
606	446	121	61	410	697
198	265	972	77	85	937
228	791	95	498	763	302
307	228	913	763	473	339
498	128	682	931	501	492
293	526	505	127	158	629
937	59	91	643	805	915
880	834	914	538	364	548
272	733	832	304	307	970
119	661	742	224	773	803
314	585	38	345	394	254
356	718	217	370	157	780
34	196	111	339	176	983
160	161	60	178	702	632
585	489	517	204	876	282
292	905	917	251	219	40
394	565	779	426	173	476
144	772	350	615	629	203
26	982	402	708	866	160
374	114	744	270	563	656
489	605	589	394	65	325
578	882	624	700	229	288
523	162	726	796	484	170
796	485	947	570	111	270
917	957	253	969	9	959
949	280	225	89	82	605
977	872	629	299	328	578
647	355	333	615	901	437
121	553	867	985	140	144
515	760	476	422	149	487
463	889	954	239	924	970
333	681	580	423	634	168
287	320	192	74	498	657
488	930	886	782	789	615
614	901	900	705	587	902
313	874	247	897	141	242
812	509	562	172	481	101
341	397	10	643	291	219
409	285	417	322	630	100
280	23	566	416	138	511
777	745	349	886	707	446
918	187	876	471	161	991
