734	848	609	646	949
559	563	28	941	214
674	749	454	469	268
459	142	63	625	32
457	745	436	444	921
79	737	309	894	722
539	447	167	794	400
825	967	475	475	611
363	810	760	680	265
323	115	708	172	146
116	112	937	935	674
809	998	786	686	215
933	559	390	518	210
326	203	248	516	106
16	746	407	949	774
340	435	334	707	167
166	621	860	637	326
405	668	4	376	775
176	891	965	649	76
963	387	721	230	173
824	930	920	23	943
138	741	543	618	25
963	794	664	670	264
405	898	795	163	862
108	531	243	52	154
788	744	82	141	430
340	840	567	804	797
232	454	781	23	372
355	199	503	226	246
713	58	600	747	314
31	606	776	669	160
423	120	161	522	295
695	54	605	455	465
946	620	360	916	643
956	990	219	569	768
812	70	264	247	727
87	759	582	482	147
146	613	536	240	404
813	610	663	638	402
860	599	88	345	612
954	971	380	811	400
82	15	842	984	724
576	758	711	224	917
101	644	82	959	279
174	374	752	906	904
298	211	494	668	367
281	698	718	760	912
775	132	106	920	497
878	128	345	583	586
291	610	249	878	520
931	877	468	561	421
267	322	173	236	896
915	766	129	833	146
210	822	72	274	352
6	594	176	104	611
312	27	374	39	811
223	71	225	421	739
22	728	207	587	555
903	209	405	826	147
294	134	878	477	464
679	807	468	189	718
379	347	401	823	916
598	955	210	383	236
926	24	747	44	734
314	498	405	316	364
976	283	503	600	756
472	239	75	172	605
900	745	395	849	269
116	728	620	523	376
905	356	654	221	194
223	574	494	310	941
449	44	114	763	488
275	331	554	346	408
214	696	182	213	305
385	924	940	416	762
870	944	828	693	6
97	775	578	232	886
464	152	725	955	262
460	245	797	363	629
278	686	119	386	295
929	166	833	530	949
468	947	987	998	950
433	562	665	714	31
814	203	104	708	975
7	971	562	922	706
956	635	322	996	179
534	133	858	893	206
57	87	420	655	579
187	927	755	55	609
871	735	637	199	570
455	776	50	323	578
79	227	90	367	884
371	183	805	818	901
235	936	94	257	316
162	100	648	897	338
801	186	723	590	832
84	321	223	426	833
872	10	417	305	219
644	427	961	809	678
347	747	830	983	127
21	727	24	152	819
989	390	284	209	607
88	520	302	540	497
813	602	325	626	855
52	80	682	190	406
302	86	988	221	785
564	423	703	111	729
6	206	880	923	969
949	497	136	145	160
929	2	59	991	71
109	476	330	818	864
765	531	646	991	165
897	317	80	492	694
495	369	64	429	296
125	694	661	766	579
581	342	595	934	754
899	652	112	576	884
405	773	956	378	255
557	992	203	848	383
883	275	701	579	777
335	342	23	668	135
153	878	604	879	801
907	975	632	441	887
977	466	660	619	888
886	599	41	946	108
934	568	590	552	984
609	621	687	340	271
225	519	627	484	966
475	827	705	648	485
455	530	914	80	498
638	498	862	67	766
786	276	366	137	617
730	655	703	828	516
787	443	436	307	345
508	540	326	684	753
616	883	119	306	324
984	273	416	54	818
180	618	181	780	183
843	856	40	445	441
655	750	407	922	268
276	933	687	105	788
490	337	244	428	582
249	496	801	737	768
281	449	674	778	811
696	337	290	795	38
236	284	131	963	479
21	597	778	676	899
276	704	265	87	96
901	773	683	426	852
803	905	155	32	846
623	366	800	336	974
912	732	448	889	494
561	552	752	696	879
724	676	907	674	35
246	33	114	345	133
447	748	956	576	987
23	536	188	201	829
641	118	429	278	26
137	910	51	263	763
489	667	294	771	891
69	844	517	390	663
170	57	971	954	784
461	885	583	312	122
297	599	123	410	157
142	170	69	723	540
363	758	283	802	280
841	292	751	918	275
575	443	947	363	168
578	421	147	495	224
844	983	158	1	923
653	986	412	662	522
901	371	217	535	795
881	489	620	767	299
516	75	926	337	445
156	75	257	75	930
30	845	301	161	583
668	379	872	662	486
613	232	74	357	573
78	822	134	257	727
678	148	635	371	968
763	302	697	653	651
873	38	186	949	5
459	88	192	275	282
380	928	860	665	79
475	701	344	681	995
619	751	742	518	719
882	186	562	920	547
779	817	336	717	323
264	397	282	276	730
907	719	428	321	283
917	776	4	458	923
996	989	974	180	275
854	573	464	59	140
687	761	453	622	751
892	104	766	130	49
354	47	414	222	420
467	37	734	947	443
535	311	615	450	309
518	534	839	159	881
745	698	664	507	766
401	458	794	938	802
298	179	357	40	210
882	968	574	308	390
542	658	211	30	876
761	9	487	749	866
812	385	486	222	878
714	783	674	420	27
420	943	872	956	885
744	713	58	805	697
491	813	510	547	507
643	373	738	483	634
971	400	196	610	106
495	178	945	454	898
865	974	988	339	101
900	228	815	542	937
770	602	827	585	411
353	731	191	497	226
