721	264	737
251	767	299
315	184	516
460	38	600
498	88	81
126	138	61
580	122	919
871	187	497
591	27	826
696	554	548
37	829	479
399	573	911
261	212	161
57	468	487
817	669	760
960	1	428
769	882	991
557	499	68
983	113	35
495	429	952
421	414	396
211	829	460
752	232	544
581	299	499
284	789	567
63	606	581
2	548	318
734	806	535
848	933	880
186	258	877
297	819	689
544	147	877
806	728	140
836	54	948
310	310	788
47	941	698
436	280	747
581	752	43
188	917	868
83	380	83
353	484	988
51	642	343
431	70	936
711	400	68
258	966	481
450	48	911
625	355	333
419	865	701
8	939	349
267	844	39
424	149	828
170	914	930
173	682	811
629	295	25
763	333	160
453	261	7
824	492	884
978	611	4
463	313	946
194	295	292
426	47	785
613	528	900
845	81	172
742	230	135
916	22	345
770	220	683
533	23	155
287	498	446
964	101	676
218	140	985
633	267	54
736	190	91
600	539	390
559	48	916
36	33	490
574	103	610
731	652	257
812	980	151
639	73	317
541	571	405
508	472	254
389	884	455
213	607	33
481	792	933
85	857	854
40	115	139
763	490	949
488	664	893
494	348	591
476	905	596
371	81	925
890	86	823
909	403	746
729	983	973
986	413	197
687	226	140
45	731	286
763	846	435
5	37	648
599	736	266
546	812	177
798	680	302
18	845	733
212	755	682
545	125	870
281	600	62
635	173	722
448	506	236
975	976	157
637	532	339
56	780	901
351	204	294
938	747	299
103	29	411
441	650	447
75	907	823
976	673	704
766	94	332
878	191	290
668	519	977
491	631	247
464	948	381
228	375	646
321	620	129
301	87	801
777	67	28
475	410	679
878	348	393
758	453	43
594	713	245
15	379	57
379	985	443
81	702	95
204	404	567
630	949	281
229	766	113
676	416	171
166	494	483
968	362	964
327	649	355
462	515	788
96	286	626
810	780	250
5	355	184
332	550	297
404	476	15
340	651	186
215	84	774
134	269	159
226	38	198
805	715	16
801	551	708
666	157	145
485	666	426
552	687	377
40	352	689
450	554	644
359	109	777
517	263	110
346	531	404
109	239	119
995	896	3
678	156	81
817	503	62
352	938	831
328	611	358
244	644	2
709	63	835
415	614	496
226	614	786
622	919	718
216	783	272
383	613	180
34	743	698
843	199	509
214	189	816
807	40	253
900	540	138
857	895	371
318	14	303
454	179	657
145	51	655
596	801	798
39	814	721
422	514	742
664	211	418
274	956	971
688	634	46
149	489	245
329	574	427
519	287	471
721	463	858
181	750	190
876	202	989
555	463	318
651	882	552
539	224	527
545	210	680
128	926	219
284	463	480
930	24	511
293	977	528
955	803	449
958	866	285
997	974	438
862	513	41
600	679	346
446	876	611
237	497	178
240	541	335
271	841	482
55	529	498
758	23	617
282	515	163
619	387	223
482	25	781
205	347	127
841	442	208
623	314	557
357	400	909
109	700	40
675	952	590
863	158	475
638	240	148
440	874	79
600	442	320
71	605	238
355	948	148
942	143	324
963	566	59
215	518	905
804	70	571
434	398	683
974	171	724
657	228	399
651	865	272
11	809	390
589	119	813
390	734	357
547	461	507
455	399	513
97	770	499
663	723	89
2	78	820
875	192	596
469	719	747
14	104	715
250	635	66
890	994	973
265	713	303
856	631	618
279	594	392
309	700	831
822	822	643
652	18	690
24	346	271
71	73	348
36	690	486
297	811	647
523	15	82
858	177	300
493	626	748
108	347	946
261	501	721
269	961	52
38	488	854
674	333	513
398	909	622
961	82	690
336	783	527
364	273	71
44	10	567
799	17	620
503	423	222
423	107	709
175	247	115
85	419	517
41	600	771
201	387	643
58	277	798
532	557	171
818	761	393
976	545	725
155	28	327
351	548	790
506	868	798
660	885	940
947	278	331
858	59	385
168	380	401
857	731	141
397	25	878
127	517	942
401	96	160
514	459	525
113	60	673
210	503	671
82	109	480
980	318	932
993	5	714
543	714	927
362	990	592
339	248	48
208	785	646
364	755	477
334	778	452
772	667	793
846	909	319
439	418	504
510	971	547
116	178	129
111	254	820
481	7	533
571	157	707
135	321	806
572	304	668
552	698	724
350	922	1
850	414	495
208	156	66
190	379	161
397	304	744
321	242	265
412	718	897
288	678	744
639	70	264
662	85	305
57	300	830
159	143	517
219	297	162
350	972	597
407	809	461
625	599	973
704	137	12
159	741	361
848	504	438
949	975	271
25	243	307
536	297	734
491	525	208
959	259	103
34	919	503
570	541	898
515	984	700
594	544	995
904	542	278
280	244	351
302	534	346
433	98	896
597	677	995
126	802	654
12	993	43
594	473	401
44	423	256
279	275	178
215	987	101
572	155	825
168	948	459
307	969	705
794	217	947
528	208	300
951	385	685
211	611	534
846	916	835
727	712	796
663	774	850
306	761	678
106	629	303
508	568	748
562	507	757
256	103	254
545	548	547
310	201	47
444	373	399
802	342	414
988	989	627
308	410	815
587	21	202
741	679	841
357	787	491
761	215	915
860	149	797
469	777	668
486	321	246
257	982	640
658	207	18
558	44	94
517	534	248
351	47	481
367	31	910
208	819	334
234	94	983
899	659	672
274	372	294
694	618	134
64	479	244
190	32	483
633	887	781
693	581	889
484	719	980
24	742	6
29	297	237
302	978	682
691	943	995
701	453	641
500	809	607
852	449	761
840	184	319
514	727	665
921	868	696
932	66	916
644	43	641
440	332	640
288	30	259
666	116	708
402	63	13
156	347	627
262	248	539
984	436	434
979	76	389
737	901	663
687	715	481
295	238	995
350	621	714
70	846	291
176	841	906
912	662	39
776	297	806
841	121	841
894	523	498
280	886	952
778	595	825
989	973	925
556	135	688
585	527	903
235	791	667
906	258	620
637	717	53
762	252	333
693	100	644
336	462	894
927	133	759
240	944	221
742	706	183
535	852	207
358	601	219
661	982	772
764	916	921
874	442	678
900	337	445
163	149	121
47	458	140
828	352	360
873	532	195
566	128	162
814	375	756
921	831	174
227	171	195
403	728	873
696	855	419
616	86	813
250	425	978
277	470	323
514	45	207
756	229	503
973	792	552
944	566	315
243	446	862
977	318	533
467	402	858
848	109	411
730	483	510
842	452	15
405	710	89
935	154	72
287	571	452
147	434	733
968	303	657
836	288	988
541	952	835
942	153	226
172	884	386
599	232	443
598	625	406
291	298	544
604	98	847
775	982	998
224	773	349
30	982	115
63	638	219
939	497	613
98	217	316
357	140	73
300	634	100
186	881	505
955	82	541
513	388	736
566	507	466
212	202	872
37	650	433
946	87	756
44	637	820
872	90	637
657	308	551
858	321	242
907	757	668
693	854	506
689	309	728
439	740	954
554	30	76
775	123	424
660	935	772
884	982	346
26	514	292
